model_name,chunk_size,top_k,num_examples,avg_BERTScore_F1,avg_BERTScore_P,avg_BERTScore_R
llama_3.2_1b,32,1,7405,0.8568540215492249,0.859225332736969,0.8570426106452942
llama_3.2_1b,32,5,7405,0.8616508841514587,0.8657534718513489,0.8627380132675171
llama_3.2_1b,32,10,7405,0.8612011075019836,0.8661614656448364,0.862744152545929
llama_3.2_1b,128,1,7405,0.8604633212089539,0.8655571937561035,0.8620520830154419
llama_3.2_1b,128,5,7405,0.867815375328064,0.8728048801422119,0.8693892955780029
llama_3.2_1b,128,10,7405,0.8701424598693848,0.8757725954055786,0.8720450401306152
llama_3.2_1b,256,1,7405,0.8610895276069641,0.8661197423934937,0.862658679485321
llama_3.2_1b,256,5,7405,0.870531439781189,0.8726617097854614,0.8706812262535095
llama_3.2_1b,256,10,7405,0.8700457215309143,0.8737238049507141,0.8709657192230225
