model_name,study_type,chunk_size,top_k,num_examples,avg_EM,avg_F1,avg_Recall_at_k_answer,avg_Recall_at_k_support_titles,latency_p50,latency_p95
llama_3.2_1b,corner_configs,32,1,7405,0.09480081026333559,0.20510229789372203,0.20486158001350438,0.6519918973666442,0.5958986282348633,0.6085992336273193
llama_3.2_1b,chunk_size_study,32,5,7405,0.1212694125590817,0.23044213344495004,0.42309250506414586,0.8555030384875084,0.5223381519317627,0.7440414428710938
llama_3.2_1b,corner_configs,32,10,7405,0.12545577312626605,0.23746105877211915,0.49763673193787983,0.9049291019581364,0.6813786029815674,0.9101898670196533
llama_3.2_1b,topk_study,128,1,7405,0.11789331532748143,0.2481448777732257,0.3724510465901418,0.7840648210668467,0.5847609043121338,0.6464024543762207
llama_3.2_1b,chunk_size_study,128,5,7405,0.1489534098582039,0.29122581585689583,0.67575962187711,0.9281566509115462,0.7119758129119873,0.9957141399383544
llama_3.2_1b,topk_study,128,10,7405,0.1612424037812289,0.3074593675568757,0.7440918298446996,0.9544902093180283,1.1887493133544922,1.5076925754547117
llama_3.2_1b,corner_configs,256,1,7405,0.11964888588791357,0.25367320141038635,0.3914922349763673,0.8066171505739366,0.580209493637085,0.6766658306121827
llama_3.2_1b,chunk_size_study,256,5,7405,0.15462525320729237,0.30088345467840766,0.6975016880486158,0.9424713031735314,0.7938628196716309,1.1360206127166748
llama_3.2_1b,corner_configs,256,10,7405,0.15570560432140446,0.3042791740197432,0.763538149898717,0.9634031060094531,1.4101109504699707,1.9039182186126704
