num_examples,avg_EM,avg_F1,avg_Recall@k_answer,avg_Recall@k_support_titles,latency_p50,latency_p95,chunk_size,top_k
500,0.214,0.34845979802716237,0.246,0.736,1.07688307762146,1.129809296131134,32,1
500,0.294,0.4443448559267418,0.574,0.974,1.5913302898406982,1.7309998512268066,32,8
