model_name,chunk_size,top_k,num_examples,avg_BERTScore_F1,avg_BERTScore_P,avg_BERTScore_R
llama_3.2_1b,32,1,500,0.8615121245384216,0.8645208477973938,0.8620226979255676
llama_3.2_1b,32,5,500,0.8687739372253418,0.8740020990371704,0.870425820350647
llama_3.2_1b,32,10,500,0.8688428997993469,0.8751911520957947,0.8711146712303162
llama_3.2_1b,128,1,500,0.8625845909118652,0.8692165613174438,0.8650142550468445
llama_3.2_1b,128,5,500,0.8760910630226135,0.8839575052261353,0.879103422164917
llama_3.2_1b,128,10,500,0.8738791942596436,0.8829832077026367,0.877568781375885
llama_3.2_1b,256,1,500,0.8608348369598389,0.8662048578262329,0.8626106977462769
llama_3.2_1b,256,5,500,0.8758846521377563,0.8834494948387146,0.8788248300552368
llama_3.2_1b,256,10,500,0.8777614235877991,0.8839254379272461,0.8800421953201294
