num_examples,avg_EM,avg_F1,avg_Recall@k_answer,avg_Recall@k_support_titles,latency_p50,latency_p95,chunk_size,top_k
500,0.124,0.23741700420845663,0.246,0.736,0.5667978525161743,0.5762032508850098,32,1
500,0.168,0.2921341669682227,0.594,0.978,0.7353153228759766,1.306899583339691,32,10
